the, 4
to, 5
turn, 6
and, 7
of, 8
on, 9
right, 10
left, 11
walk, 12
up, 13
in, 14
pick, 15
table, 16
around, 17
sink, 18
counter, 19
then, 20
go, 21
put, 22
face, 23
place, 24
from, 25
a, 26
microwave, 27
fridge, 28
knife, 29
take, 30
it, 31
move, 32
front, 33
slice, 34
back, 35
forward, 36
with, 37
open, 38
door, 39
side, 40
towards, 41
stove, 42
your, 43
room, 44
close, 45
desk, 46
coffee, 47
top, 48
you, 49
tomato, 50
toilet, 51
potato, 52
apple, 53
cabinet, 54
is, 55
inside, 56
white, 57
shelf, 58
that, 59
out, 60
bread, 61
over, 62
head, 63
at, 64
black, 65
refrigerator, 66
lamp, 67
lettuce, 68
off, 69
bed, 70
pan, 71
across, 72
kitchen, 73
wall, 74
chair, 75
step, 76
plate, 77
end, 78
mug, 79
stand, 80
cup, 81
bowl, 82
couch, 83
box, 84
soap, 85
bottle, 86
dresser, 87
down, 88
next, 89
again, 90
corner, 91
drawer, 92
grab, 93
straight, 94
trash, 95
can, 96
tub, 97
spoon, 98
into, 99
egg, 100
card, 101
other, 102
pot, 103
bin, 104
remove, 105
behind, 106
glass, 107
green, 108
phone, 109
small, 110
look, 111
hang, 112
credit, 113
water, 114
keys, 115
between, 116
sponge, 117
island, 118
maker, 119
remote, 120
cut, 121
above, 122
paper, 123
fork, 124
bottom, 125
pencil, 126
under, 127
floor, 128
steps, 129
book, 130
carry, 131
tv, 132
towel, 133
middle, 134
blue, 135
toaster, 136
bring, 137
edge, 138
few, 139
brown, 140
pen, 141
heat, 142
wash, 143
near, 144
for, 145
wooden, 146
bar, 147
sofa, 148
by, 149
candle, 150
spray, 151
facing, 152
past, 153
thats, 154
shut, 155
cross, 156
two, 157
where, 158
toward, 159
oven, 160
spatula, 161
round, 162
salt, 163
closest, 164
set, 165
roll, 166
red, 167
yellow, 168
seconds, 169
loaf, 170
piece, 171
rag, 172
ahead, 173
newspaper, 174
are, 175
chill, 176
center, 177
cd, 178
second, 179
one, 180
laptop, 181
slices, 182
clock, 183
butter, 184
below, 185
watch, 186
shaker, 187
cell, 188
there, 189
cloth, 190
so, 191
window, 192
night, 193
until, 194
bath, 195
shelves, 196
get, 197
first, 198
metal, 199
garbage, 200
machine, 201
bit, 202
slightly, 203
rinse, 204
far, 205
kettle, 206
cupboard, 207
rack, 208
burner, 209
pillow, 210
sitting, 211
dining, 212
nightstand, 213
large, 214
hand, 215
cook, 216
tank, 217
reach, 218
make, 219
wait, 220
sinks, 221
after, 222
vase, 223
gray, 224
statue, 225
beside, 226
wine, 227
dishwasher, 228
tissue, 229
holder, 230
clean, 231
before, 232
television, 233
sliced, 234
just, 235
stop, 236
walking, 237
cushion, 238
ottoman, 239
basin, 240
when, 241
empty, 242
handle, 243
computer, 244
cardboard, 245
silver, 246
lower, 247
bathtub, 248
cool, 249
opposite, 250
cabinets, 251
bathroom, 252
begin, 253
pink, 254
couple, 255
find, 256
dirty, 257
heated, 258
chilled, 259
seat, 260
grey, 261
ladle, 262
purple, 263
alarm, 264
proceed, 265
foot, 266
way, 267
tall, 268
cabbage, 269
tea, 270
drawers, 271
an, 272
container, 273
three, 274
directly, 275
approach, 276
return, 277
faucet, 278
drop, 279
tissues, 280
lotion, 281
safe, 282
light, 283
forwards, 284
control, 285
dispenser, 286
gold, 287
hold, 288
against, 289
vanity, 290
mirror, 291
another, 292
plant, 293
veer, 294
while, 295
leftmost, 296
shelving, 297
rightmost, 298
square, 299
arm, 300
all, 301
use, 302
unit, 303
fill, 304
moment, 305
standing, 306
upper, 307
racket, 308
pepper, 309
youre, 310
underneath, 311
clear, 312
once, 313
its, 314
let, 315
frying, 316
turning, 317
away, 318
fireplace, 319
doors, 320
onto, 321
tray, 322
completely, 323
disc, 324
now, 325
recycling, 326
closer, 327
chairs, 328
nearest, 329
bat, 330
which, 331
living, 332
little, 333
holding, 334
tennis, 335
half, 336
space, 337
basket, 338
stool, 339
locate, 340
tube, 341
pieces, 342
twice, 343
shower, 344
freezer, 345
same, 346
basketball, 347
dish, 348
already, 349
orange, 350
waste, 351
warm, 352
ground, 353
lap, 354
golden, 355
plunger, 356
degrees, 357
long, 358
hanging, 359
wet, 360
cooked, 361
most, 362
has, 363
lid, 364
ring, 365
closing, 366
armchair, 367
drain, 368
located, 369
containing, 370
throw, 371
beneath, 372
object, 373
fruit, 374
short, 375
cold, 376
see, 377
through, 378
bedside, 379
beds, 380
bench, 381
as, 382
area, 383
part, 384
along, 385
countertop, 386
start, 387
continue, 388
section, 389
sharp, 390
pull, 391
bag, 392
this, 393
be, 394
circle, 395
dark, 396
chest, 397
cart, 398
skillet, 399
backwards, 400
third, 401
direction, 402
removing, 403
vegetable, 404
but, 405
range, 406
handled, 407
wood, 408
gas, 409
done, 410
stick, 411
cleaned, 412
feet, 413
was, 414
furthest, 415
halfway, 416
rear, 417
smartphone, 418
watering, 419
still, 420
even, 421
baseball, 422
cellphone, 423
stay, 424
key, 425
run, 426
got, 427
disk, 428
full, 429
taking, 430
position, 431
pump, 432
trashcan, 433
big, 434
farthest, 435
carrying, 436
scoop, 437
entertainment, 438
cooking, 439
looking, 440
passing, 441
several, 442
grinder, 443
dog, 444
rest, 445
fry, 446
rug, 447
goblet, 448
bottles, 449
four, 450
previously, 451
cleaner, 452
bureau, 453
laying, 454
last, 455
drying, 456
low, 457
turns, 458
seven, 459
remaining, 460
wrist, 461
pass, 462
hit, 463
towels, 464
retrieve, 465
will, 466
bookshelf, 467
afterwards, 468
sauce, 469
teapot, 470
rinsed, 471
raise, 472
ledge, 473
them, 474
trophy, 475
some, 476
recycle, 477
controller, 478
stools, 479
martini, 480
butterknife, 481
counters, 482
spout, 483
case, 484
striped, 485
jar, 486
five, 487
yourself, 488
tan, 489
were, 490
almost, 491
hanger, 492
chain, 493
both, 494
fire, 495
laptops, 496
time, 497
spot, 498
sculpture, 499
magazine, 500
wastebasket, 501
quick, 502
stopping, 503
bear, 504
placed, 505
rectangular, 506
leave, 507
base, 508
washed, 509
come, 510
smaller, 511
please, 512
passed, 513
larger, 514
picking, 515
windows, 516
lowest, 517
candlestick, 518
tiny, 519
doorway, 520
going, 521
sweet, 522
compact, 523
sits, 524
using, 525
monitor, 526
tomatoes, 527
plaid, 528
knives, 529
board, 530
compartment, 531
mill, 532
potted, 533
blade, 534
adjacent, 535
pear, 536
he, 537
cream, 538
items, 539
leaning, 540
ice, 541
shakers, 542
tables, 543
about, 544
hot, 545
chefs, 546
clocks, 547
apples, 548
keep, 549
platform, 550
polish, 551
bookcase, 552
melon, 553
opening, 554
vertically, 555
nail, 556
books, 557
cover, 558
yellowhandled, 559
item, 560
rubbish, 561
till, 562
wire, 563
veering, 564
moving, 565
six, 566
reaching, 567
cooker, 568
rags, 569
righthand, 570
pointing, 571
circular, 572
console, 573
washcloth, 574
portion, 575
more, 576
making, 577
immediately, 578
figurine, 579
perfume, 580
media, 581
device, 582
turner, 583
point, 584
food, 585
news, 586
cupboards, 587
bucket, 588
work, 589
very, 590
plastic, 591
statues, 592
finished, 593
notebook, 594
loaves, 595
upright, 596
filled, 597
piano, 598
heads, 599
minutes, 600
retrieving, 601
original, 602
shade, 603
copper, 604
pumper, 605
ball, 606
carton, 607
have, 608
avocado, 609
paring, 610
coffeemaker, 611
lay, 612
cooled, 613
heating, 614
thirds, 615
cooling, 616
lift, 617
surface, 618
level, 619
tap, 620
further, 621
do, 622
resting, 623
examine, 624
horizontally, 625
computers, 626
washer, 627
parts, 628
car, 629
self, 630
wedge, 631
running, 632
walks, 633
bedroom, 634
alongside, 635
mantle, 636
deep, 637
sit, 638
not, 639
length, 640
blanket, 641
boxes, 642
dinner, 643
pullout, 644
picked, 645
single, 646
farther, 647
loveseat, 648
mike, 649
radiator, 650
steel, 651
allow, 652
double, 653
objects, 654
eggs, 655
closet, 656
tip, 657
ad, 658
smart, 659
lounge, 660
floral, 661
onion, 662
leather, 663
lying, 664
central, 665
contains, 666
immediate, 667
mat, 668
adjust, 669
minute, 670
sections, 671
beyond, 672
cutting, 673
came, 674
furniture, 675
too, 676
lefthand, 677
follow, 678
stack, 679
times, 680
screen, 681
pickup, 682
ninety, 683
originally, 684
stovetop, 685
cubby, 686
love, 687
entry, 688
plum, 689
ends, 690
if, 691
bowel, 692
textbook, 693
centered, 694
picture, 695
potatoes, 696
perpendicular, 697
they, 698
curtain, 699
parallel, 700
bend, 701
lined, 702
sprayer, 703
flush, 704
form, 705
measuring, 706
glasses, 707
maneuver, 708
padded, 709
marble, 710
timer, 711
sill, 712
hall, 713
row, 714
hook, 715
chalice, 716
bagel, 717
enter, 718
bean, 719
or, 720
view, 721
air, 722
pillows, 723
counterclockwise, 724
pitcher, 725
tile, 726
colored, 727
gaze, 728
backward, 729
well, 730
previous, 731
boots, 732
storage, 733
letting, 734
keeping, 735
learning, 736
kleenex, 737
chunk, 738
stuffed, 739
should, 740
pulling, 741
office, 742
inches, 743
racquet, 744
cushions, 745
desktop, 746
toast, 747
clockwise, 748
cistern, 749
plush, 750
flower, 751
pavement, 752
vault, 753
moves, 754
slight, 755
switch, 756
tops, 757
also, 758
enough, 759
digital, 760
sure, 761
pencils, 762
touching, 763
curtains, 764
moments, 765
candles, 766
figure, 767
utensils, 768
wand, 769
wristwatch, 770
looks, 771
cds, 772
teddy, 773
existing, 774
toy, 775
bronze, 776
beginning, 777
laddle, 778
together, 779
fob, 780
whole, 781
cleaning, 782
stairs, 783
washing, 784
complete, 785
makers, 786
drinking, 787
diagonal, 788
brush, 789
bank, 790
than, 791
cups, 792
animal, 793
coconut, 794
peninsula, 795
cylinder, 796
cocktail, 797
hallway, 798
barred, 799
rightside, 800
cards, 801
line, 802
platter, 803
upwards, 804
pointed, 805
carpet, 806
tumbler, 807
ipod, 808
shorter, 809
advance, 810
entitled, 811
ink, 812
eight, 813
upward, 814
focus, 815
brass, 816
main, 817
plates, 818
remotes, 819
curved, 820
kiwi, 821
ways, 822
mugs, 823
only, 824
thin, 825
starting, 826
bunk, 827
talk, 828
been, 829
attached, 830
youve, 831
lip, 832
finally, 833
largest, 834
dvd, 835
pens, 836
load, 837
photo, 838
teakettle, 839
higher, 840
sticking, 841
angle, 842
found, 843
closed, 844
panda, 845
stainless, 846
covered, 847
toilets, 848
funnel, 849
vegetables, 850
amount, 851
meets, 852
display, 853
placing, 854
crisper, 855
liquid, 856
pair, 857
getting, 858
shift, 859
t, 860
no, 861
pad, 862
diagonally, 863
picks, 864
built, 865
human, 866
o, 867
bigger, 868
spin, 869
degree, 870
filing, 871
flusher, 872
caldron, 873
leftwalk, 874
granite, 875
forks, 876
tight, 877
stem, 878
u, 879
spoons, 880
pantry, 881
couches, 882
like, 883
gotten, 884
positioned, 885
soak, 886
patterned, 887
dress, 888
lean, 889
vases, 890
man, 891
bowls, 892
jug, 893
newspapers, 894
handkerchief, 895
painting, 896
flat, 897
meet, 898
path, 899
better, 900
fabric, 901
beige, 902
ash, 903
napkin, 904
leaf, 905
outside, 906
stands, 907
nearer, 908
leaving, 909
burners, 910
file, 911
saltshaker, 912
finish, 913
hole, 914
leftside, 915
cloths, 916
layer, 917
keychain, 918
toss, 919
shaped, 920
able, 921
bow, 922
lampshade, 923
turnaround, 924
study, 925
cap, 926
twist, 927
fourth, 928
horizontal, 929
stall, 930
sideways, 931
reopen, 932
th, 933
pallet, 934
had, 935
oval, 936
leg, 937
places, 938
rounded, 939
silverware, 940
plants, 941
windowsill, 942
new, 943
bolster, 944
sideboard, 945
squirt, 946
pace, 947
closes, 948
desks, 949
nine, 950
widths, 951
afterward, 952
many, 953
goes, 954
stoves, 955
chess, 956
rim, 957
scrub, 958
aqua, 959
stab, 960
decoration, 961
containers, 962
champagne, 963
spool, 964
attention, 965
warmed, 966
discs, 967
electric, 968
slotted, 969
recliner, 970
shadow, 971
ceramic, 972
saucer, 973
vertical, 974
chopped, 975
partially, 976
controls, 977
high, 978
pots, 979
partition, 980
knock, 981
ac, 982
trophies, 983
opens, 984
rightturn, 985
upholstered, 986
travel, 987
cat, 988
started, 989
dust, 990
called, 991
divider, 992
aisle, 993
bluray, 994
opened, 995
though, 996
narrow, 997
phones, 998
microwaved, 999
<pad>, 0
<start>, 1
<end>, 2
<unk>, 3
